XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
35.0,60347.0,108202.0,333951.0,10088.0,18505.0,57236.0,32.0,653800.0,212685.0,41196.0,123379.0,43647.0,8288.0,23.0,274544.0,73146.0,19.0,1305600.0,431487.0,Galvez,6,2023-09-15,Enkoll,26
43.0,75420.0,129391.0,419549.0,10353.0,17494.0,56373.0,39.0,734900.0,242031.0,40294.0,109593.0,38488.0,6361.0,24.0,267240.0,67387.0,21.0,1618500.0,478573.0,Galvez,6,2023-09-16,GEA-ISA,34
69.0,45595.0,94019.0,286050.0,4674.0,10202.0,30114.0,59.0,337600.0,88077.0,33055.0,36393.0,9844.0,4058.0,52.0,268499.0,34912.0,16.0,296000.0,105992.0,Galvez,6,2023-10-15,Covarrubias,21
73.0,43960.0,88804.0,281389.0,4181.0,8831.0,27239.0,61.0,318000.0,81663.0,20945.0,32364.0,8687.0,2226.0,55.0,265684.0,31612.0,11.0,168300.0,111375.0,Galvez,6,2023-10-16,El FInanciero,28
79.0,46034.0,89432.0,285006.0,3697.0,7274.0,22920.0,63.0,324800.0,76333.0,20162.0,31268.0,7288.0,1974.0,57.0,267759.0,29025.0,10.0,166500.0,114125.0,Galvez,6,2023-10-17,Enkoll,27
101.0,46101.0,96876.0,298262.0,2998.0,6022.0,19169.0,62.0,341700.0,83598.0,20635.0,33886.0,8301.0,2073.0,57.0,259267.0,27812.0,9.0,219200.0,134667.0,Galvez,6,2023-10-18,Mendoza Blanco,24
93.0,45027.0,92020.0,278312.0,3245.0,6254.0,19489.0,60.0,318000.0,75275.0,21001.0,32697.0,7810.0,2155.0,53.0,251709.0,28955.0,25.0,225457.0,98517.0,Galvez,6,2023-10-19,Mitofsky,27
92.0,46464.0,98443.0,295243.0,3366.0,6708.0,20722.0,63.0,390300.0,103541.0,26728.0,36561.0,9464.0,2479.0,52.0,240622.0,28412.0,26.0,257657.0,103817.0,Galvez,6,2023-10-20,Parametría,17
94.0,44509.0,96747.0,280966.0,3154.0,6438.0,19242.0,64.0,392800.0,101237.0,26267.0,36149.0,9104.0,2400.0,50.0,234963.0,28939.0,27.0,312757.0,158917.0,Galvez,6,2023-10-21,Simo,22
58.0,41983.0,124589.0,357858.0,4481.0,13276.0,38175.0,53.0,311600.0,73496.0,26439.0,35373.0,8187.0,3013.0,44.0,263441.0,36206.0,10.0,114049.0,76504.0,Galvez,6,2023-11-15,Buendía y Márquez,24
60.0,45119.0,127367.0,372665.0,4606.0,13243.0,38525.0,56.0,334800.0,79818.0,27535.0,36058.0,8389.0,3023.0,46.0,261070.0,34994.0,11.0,123889.0,78126.0,Galvez,6,2023-11-16,Covarrubias,22
61.0,54551.0,130142.0,379865.0,5688.0,13334.0,38736.0,57.0,326500.0,82325.0,26233.0,34315.0,8598.0,2801.0,43.0,243208.0,34842.0,13.0,97744.0,39412.0,Galvez,6,2023-11-17,Demotecnia,14
64.0,53789.0,128872.0,372265.0,5387.0,12548.0,36010.0,62.0,348990.0,88460.0,27369.0,34332.0,8777.0,2767.0,41.0,229511.0,34265.0,20.0,150018.0,46879.0,Galvez,6,2023-11-18,El Financiero,31
62.0,50202.0,108572.0,315565.0,5184.0,10712.0,31005.0,60.0,272390.0,60033.0,17248.0,26751.0,5789.0,1696.0,40.0,175998.0,27329.0,19.0,127264.0,40075.0,Galvez,6,2023-11-19,Enkoll,23
64.0,89832.0,116658.0,337449.0,8370.0,11114.0,31991.0,64.0,333284.0,71777.0,19192.0,30020.0,6422.0,1744.0,43.0,208832.0,28974.0,23.0,199952.0,50580.0,Galvez,6,2023-11-20,Mendoza Blanco,24
65.0,92283.0,128458.0,374174.0,8546.0,12026.0,34899.0,62.0,365684.0,79121.0,23392.0,35163.0,7529.0,2336.0,46.0,254314.0,32591.0,24.0,450519.0,99585.0,Galvez,6,2023-11-21,Mitofsky,27
64.0,88482.0,128210.0,368787.0,8339.0,12117.0,34870.0,60.0,392984.0,74621.0,25593.0,38308.0,7382.0,2574.0,46.0,269345.0,34094.0,22.0,441852.0,104106.0,Galvez,6,2023-11-22,Parametría,25
70.0,79910.0,128566.0,375800.0,6933.0,11228.0,32918.0,58.0,386884.0,70521.0,25487.0,38591.0,7046.0,2642.0,49.0,278939.0,33065.0,20.0,437350.0,112174.0,Galvez,6,2023-11-23,Reforma,25
39.0,37413.0,117210.0,291208.0,5875.0,18277.0,45270.0,36.0,1028400.0,293921.0,46644.0,169283.0,48765.0,7784.0,32.0,256822.0,45572.0,13.0,1922949.0,967720.0,Galvez,6,2023-12-15,Berumen,27
39.0,36679.0,115910.0,376708.0,5753.0,18060.0,59520.0,33.0,953600.0,268381.0,42461.0,164316.0,46375.0,7563.0,34.0,273255.0,46041.0,13.0,1873558.0,943025.0,Galvez,6,2023-12-16,Covarrubias,22
39.0,38851.0,110227.0,366114.0,6115.0,17113.0,57754.0,30.0,768900.0,235963.0,35950.0,145248.0,43662.0,6946.0,33.0,215304.0,39584.0,13.0,546971.0,279731.0,Galvez,6,2023-12-17,Demotecnia,13
37.0,38449.0,102530.0,344313.0,6345.0,16789.0,56625.0,30.0,759600.0,218660.0,32672.0,143698.0,40778.0,6400.0,31.0,199821.0,39389.0,12.0,469993.0,248124.0,Galvez,6,2023-12-18,El Financiero,30
36.0,36263.0,99130.0,331413.0,6118.0,16744.0,55455.0,29.0,673200.0,196060.0,28971.0,127958.0,36593.0,5827.0,34.0,204885.0,37029.0,12.0,304128.0,192836.0,Galvez,6,2023-12-19,GEA-ISA,30
37.0,36772.0,99120.0,330310.0,6083.0,16464.0,54622.0,31.0,545400.0,146660.0,26541.0,103529.0,27692.0,5229.0,29.0,191751.0,43134.0,14.0,1206673.0,422579.0,Galvez,6,2023-12-20,Mendoza Blanco,23
39.0,37271.0,97518.0,337226.0,5889.0,15499.0,53738.0,30.0,383900.0,96518.0,25073.0,77992.0,19845.0,5171.0,28.0,195073.0,47992.0,14.0,2475846.0,845636.0,Galvez,6,2023-12-21,Mitofsky,25
39.0,35051.0,89773.0,229533.0,5519.0,14208.0,35789.0,32.0,462400.0,119018.0,29664.0,87692.0,22851.0,5708.0,26.0,183974.0,48856.0,14.0,3434897.0,1325162.0,Galvez,6,2023-12-22,Parametría,26
