XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
24.0,49564.0,74163.0,231912.0,7911.0,11857.0,37519.0,19.0,327400.0,121900.0,22002.0,68640.0,26727.0,4545.0,15.0,184485.0,48841.0,13.0,994400.0,327753.0,Galvez,4,2023-09-15,Enkoll,26
32.0,65386.0,103977.0,335190.0,8363.0,13002.0,41076.0,27.0,491500.0,173846.0,30205.0,71437.0,25001.0,4686.0,17.0,201133.0,47192.0,15.0,699500.0,172240.0,Galvez,4,2023-09-16,GEA-ISA,34
58.0,34351.0,65965.0,207660.0,2574.0,5037.0,15572.0,46.0,232600.0,56500.0,14055.0,20281.0,4914.0,1255.0,44.0,206669.0,19545.0,6.0,96100.0,69325.0,Galvez,4,2023-10-15,Covarrubias,21
60.0,30462.0,59074.0,197189.0,2041.0,4028.0,13550.0,46.0,234900.0,56541.0,14354.0,20536.0,4919.0,1288.0,45.0,200172.0,17965.0,3.0,92400.0,92400.0,Galvez,4,2023-10-16,El FInanciero,28
51.0,28159.0,52892.0,176256.0,2236.0,4244.0,14097.0,41.0,219400.0,49804.0,13826.0,21916.0,4989.0,1388.0,38.0,174652.0,18707.0,5.0,92000.0,66400.0,Galvez,4,2023-10-17,Enkoll,27
65.0,28604.0,65089.0,195043.0,2025.0,4261.0,13442.0,36.0,227300.0,56827.0,14849.0,25086.0,6242.0,1628.0,31.0,152826.0,19613.0,7.0,158800.0,74267.0,Galvez,4,2023-10-18,Mendoza Blanco,24
63.0,28551.0,62595.0,179402.0,2131.0,4247.0,12740.0,36.0,190800.0,45304.0,13282.0,21768.0,5194.0,1486.0,28.0,138147.0,19729.0,24.0,203857.0,76917.0,Galvez,4,2023-10-19,Mitofsky,27
68.0,33499.0,71156.0,201273.0,2299.0,4441.0,12899.0,43.0,269800.0,73771.0,18160.0,24824.0,6605.0,1636.0,33.0,146891.0,18646.0,25.0,225657.0,71817.0,Galvez,4,2023-10-20,Parametría,17
73.0,32826.0,73280.0,203620.0,2031.0,4201.0,11894.0,47.0,300600.0,81404.0,20160.0,25162.0,6730.0,1681.0,37.0,173873.0,19459.0,23.0,242357.0,114117.0,Galvez,4,2023-10-21,Simo,22
37.0,28633.0,87180.0,254824.0,3142.0,9582.0,28058.0,35.0,222200.0,54868.0,19624.0,25194.0,6190.0,2219.0,29.0,184161.0,25577.0,7.0,59107.0,26532.0,Galvez,4,2023-11-15,Buendía y Márquez,24
45.0,32909.0,93389.0,274365.0,2983.0,8740.0,25548.0,42.0,264100.0,68388.0,22025.0,25958.0,6756.0,2236.0,31.0,179855.0,24123.0,10.0,78889.0,33126.0,Galvez,4,2023-11-16,Covarrubias,22
44.0,38002.0,76964.0,222665.0,3755.0,7153.0,20440.0,41.0,189400.0,42918.0,12258.0,18091.0,4042.0,1180.0,28.0,118996.0,17828.0,11.0,65844.0,23462.0,Galvez,4,2023-11-17,Demotecnia,14
