XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
26.0,3341.0,894.0,2724.0,408.0,103.0,310.0,35.0,13397.0,3040.0,1205.0,1165.0,280.0,102.0,54.0,48530.0,4688.0,5.0,1403.0,543.0,Maynez,3,2024-01-21,Simo,4
8.0,5364.0,786.0,984.0,2405.0,363.0,406.0,27.0,7404.0,2887.0,342.0,816.0,317.0,38.0,20.0,9319.0,2684.0,0.0,0.0,0.0,Maynez,3,2024-02-15,Berumen,5
6.0,4798.0,723.0,753.0,2441.0,373.0,370.0,25.0,6103.0,2288.0,291.0,683.0,248.0,34.0,14.0,4730.0,1899.0,0.0,0.0,0.0,Maynez,3,2024-02-16,Buendía y Márquez,4
4.0,1096.0,118.0,286.0,590.0,71.0,137.0,22.0,6323.0,2129.0,355.0,850.0,282.0,49.0,16.0,5406.0,1854.0,0.0,0.0,0.0,Maynez,3,2024-02-17,Demotecnia,2
2.0,1241.0,145.0,222.0,1241.0,145.0,222.0,20.0,4756.0,1554.0,321.0,697.0,226.0,47.0,10.0,3726.0,1294.0,0.0,0.0,0.0,Maynez,3,2024-02-18,El Financiero,8
6.0,1246.0,147.0,270.0,972.0,108.0,182.0,25.0,5739.0,1877.0,371.0,731.0,243.0,47.0,14.0,5392.0,1527.0,0.0,0.0,0.0,Maynez,3,2024-02-19,Mitofsky,5
9.0,1471.0,212.0,607.0,1047.0,129.0,294.0,28.0,3229.0,925.0,285.0,336.0,99.0,30.0,16.0,6945.0,1676.0,0.0,0.0,0.0,Maynez,3,2024-02-20,Simo,3
20.0,997.0,965.0,2081.0,146.0,147.0,304.0,17.0,17998.0,3141.0,2676.0,3105.0,544.0,531.0,28.0,10578.0,2222.0,7.0,1601000.0,587400.0,Maynez,3,2024-03-15,Altica,6
18.0,1092.0,807.0,1741.0,177.0,136.0,281.0,21.0,24288.0,5430.0,2812.0,2979.0,651.0,455.0,30.0,13475.0,2563.0,8.0,2323000.0,899900.0,Maynez,3,2024-03-16,Berumen,4
18.0,1083.0,737.0,1786.0,175.0,122.0,290.0,24.0,32586.0,7547.0,3010.0,4028.0,930.0,381.0,40.0,17054.0,2583.0,15.0,6607000.0,1228025.0,Maynez,3,2024-03-17,Covarrubias,5
19.0,2020.0,869.0,2395.0,272.0,132.0,346.0,27.0,47143.0,9254.0,3704.0,5098.0,1042.0,420.0,40.0,20078.0,3087.0,18.0,7597000.0,1256750.0,Maynez,3,2024-03-18,Demotecnia,2
22.0,2040.0,1088.0,2758.0,251.0,144.0,357.0,29.0,55047.0,11000.0,3859.0,5502.0,1121.0,411.0,36.0,29474.0,5306.0,19.0,7590000.0,1117917.0,Maynez,3,2024-03-19,El Financiero,7
27.0,2691.0,1515.0,3780.0,294.0,167.0,415.0,29.0,66576.0,13056.0,4072.0,7149.0,1415.0,441.0,36.0,55015.0,8955.0,14.0,4155000.0,914792.0,Maynez,3,2024-03-20,GEA-ISA,4
27.0,1849.0,1414.0,3199.0,200.0,156.0,351.0,28.0,72477.0,15154.0,3746.0,7939.0,1652.0,421.0,34.0,62171.0,10692.0,7.0,1994000.0,728667.0,Maynez,3,2024-03-21,Mendoza Blanco,6
26.0,1713.0,1291.0,3142.0,187.0,146.0,357.0,25.0,62847.0,11354.0,4255.0,7535.0,1371.0,530.0,34.0,59742.0,10206.0,6.0,1571000.0,652500.0,Maynez,3,2024-03-22,Mitofsky,5
22.0,1047.0,913.0,2547.0,134.0,124.0,355.0,25.0,54529.0,8410.0,4002.0,6347.0,950.0,494.0,30.0,32116.0,6423.0,7.0,626000.0,325750.0,Maynez,3,2024-03-23,Reforma,7
18.0,1128.0,916.0,2854.0,208.0,158.0,498.0,22.0,35699.0,3866.0,3969.0,4853.0,518.0,534.0,34.0,32019.0,5476.0,8.0,707000.0,318250.0,Maynez,3,2024-03-24,Citibanamex,5
39.0,3741.0,5348.0,54989.0,274.0,377.0,3840.0,34.0,150100.0,9910.0,12385.0,13151.0,865.0,1081.0,56.0,506722.0,51429.0,5.0,2598689.0,1299689.0,Maynez,3,2024-04-15,Altica,5
29.0,2782.0,4033.0,42991.0,310.0,474.0,5161.0,34.0,155694.0,10099.0,12671.0,13617.0,881.0,1105.0,54.0,496068.0,52681.0,3.0,2531689.0,1266189.0,Maynez,3,2024-04-16,Berumen,4
27.0,2769.0,3927.0,40234.0,325.0,482.0,5040.0,32.0,155190.0,10768.0,12079.0,14199.0,994.0,1085.0,54.0,496704.0,52772.0,2.0,2531000.0,1265500.0,Maynez,3,2024-04-17,Covarrubias,7
25.0,2810.0,3687.0,37916.0,347.0,475.0,4978.0,31.0,145690.0,10223.0,10714.0,13733.0,969.0,987.0,50.0,454955.0,52055.0,1.0,30000.0,30000.0,Maynez,3,2024-04-18,El Financiero,8
33.0,3912.0,3119.0,28444.0,337.0,280.0,2510.0,30.0,114653.0,9801.0,7052.0,11448.0,968.0,701.0,50.0,383031.0,44862.0,1.0,30000.0,30000.0,Maynez,3,2024-04-19,Enkoll,6
37.0,4403.0,3225.0,30171.0,347.0,259.0,2423.0,32.0,113796.0,10057.0,12074.0,10742.0,939.0,1124.0,116.0,899706.0,49249.0,2.0,61000.0,61000.0,Maynez,3,2024-04-20,GEA-ISA,6
42.0,4998.0,4640.0,41407.0,354.0,329.0,2933.0,34.0,105661.0,11434.0,12747.0,9336.0,1009.0,1132.0,122.0,885503.0,43243.0,4.0,97109.0,53036.0,Maynez,3,2024-04-21,Mendoza Blanco,11
52.0,5796.0,4561.0,41944.0,327.0,286.0,2564.0,35.0,112949.0,10433.0,15712.0,9642.0,891.0,1360.0,122.0,942284.0,48922.0,5.0,127109.0,83036.0,Maynez,3,2024-04-22,Mitofsky,9
53.0,5235.0,4307.0,38941.0,280.0,263.0,2304.0,35.0,149188.0,15444.0,14018.0,12936.0,1347.0,1206.0,66.0,526081.0,48599.0,5.0,119109.0,52036.0,Maynez,3,2024-04-23,Parametría,8
50.0,4173.0,2529.0,23538.0,213.0,144.0,1267.0,35.0,133021.0,13779.0,12526.0,11589.0,1208.0,1082.0,68.0,478033.0,43655.0,2.0,53000.0,30000.0,Maynez,3,2024-04-24,Citibanamex,7
45.0,19353.0,7845.0,47499.0,1246.0,494.0,2995.0,36.0,108047.0,11251.0,9444.0,8666.0,919.0,771.0,76.0,350140.0,28190.0,7.0,3767000.0,978500.0,Maynez,3,2024-05-15,Altica,7
47.0,38022.0,14335.0,73548.0,2381.0,889.0,4563.0,37.0,94110.0,10511.0,8345.0,7394.0,838.0,670.0,74.0,301105.0,25216.0,11.0,3890598.0,980020.0,Maynez,3,2024-05-16,Breumen,9
48.0,39562.0,16755.0,84752.0,2460.0,1043.0,5266.0,36.0,63521.0,9383.0,6421.0,5267.0,778.0,540.0,74.0,343503.0,28478.0,8.0,257598.0,105520.0,Maynez,3,2024-05-17,Mitofsky,10
9.0,12350.0,3758.0,31829.0,3373.0,996.0,8500.0,14.0,78500.0,6927.0,2436.0,16467.0,1577.0,480.0,20.0,685502.0,205981.0,0.0,0.0,0.0,Maynez,3,2024-06-02,Final,10
