XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
38.0,4218.0,1205.0,3663.0,481.0,129.0,388.0,43.0,15513.0,3497.0,1552.0,1429.0,337.0,145.0,66.0,54846.0,5740.0,7.0,2424.0,1053.0,Maynez,4,2024-01-21,Simo,4
25.0,9200.0,1403.0,2855.0,2631.0,399.0,516.0,37.0,10604.0,3473.0,580.0,1136.0,375.0,62.0,24.0,10132.0,3090.0,0.0,0.0,0.0,Maynez,4,2024-02-15,Berumen,5
9.0,5701.0,833.0,1046.0,2742.0,410.0,468.0,33.0,8129.0,3041.0,404.0,937.0,342.0,48.0,22.0,9803.0,3168.0,0.0,0.0,0.0,Maynez,4,2024-02-16,Buendía y Márquez,4
6.0,4798.0,723.0,753.0,2441.0,373.0,370.0,32.0,9467.0,3443.0,485.0,1164.0,413.0,62.0,22.0,7972.0,2710.0,0.0,0.0,0.0,Maynez,4,2024-02-17,Demotecnia,2
5.0,2000.0,216.0,446.0,1494.0,169.0,297.0,29.0,6990.0,2374.0,420.0,945.0,317.0,58.0,16.0,5406.0,1854.0,0.0,0.0,0.0,Maynez,4,2024-02-18,El Financiero,8
7.0,1583.0,194.0,332.0,1309.0,155.0,244.0,31.0,6464.0,2031.0,433.0,852.0,269.0,58.0,16.0,5876.0,2011.0,0.0,0.0,0.0,Maynez,4,2024-02-19,Mitofsky,5
9.0,1471.0,212.0,607.0,1047.0,129.0,294.0,35.0,6593.0,2080.0,479.0,817.0,264.0,58.0,24.0,10187.0,2486.0,0.0,0.0,0.0,Maynez,4,2024-02-20,Simo,3
27.0,1278.0,1240.0,2762.0,186.0,186.0,401.0,23.0,19646.0,3270.0,3022.0,3380.0,566.0,588.0,38.0,17205.0,3547.0,16.0,18322000.0,2445289.0,Maynez,4,2024-03-15,Altica,6
25.0,1300.0,1172.0,2539.0,207.0,188.0,395.0,26.0,33565.0,7087.0,3838.0,4835.0,983.0,660.0,42.0,16527.0,3072.0,9.0,2420000.0,996900.0,Maynez,4,2024-03-16,Berumen,4
23.0,1319.0,998.0,2177.0,222.0,174.0,368.0,28.0,33861.0,7765.0,3964.0,4347.0,985.0,619.0,44.0,18430.0,3271.0,16.0,6844000.0,1465025.0,Maynez,4,2024-03-17,Covarrubias,5
27.0,2573.0,1208.0,3287.0,341.0,174.0,457.0,35.0,54589.0,10520.0,4400.0,6028.0,1201.0,507.0,52.0,26228.0,4112.0,23.0,8864000.0,1510150.0,Maynez,4,2024-03-18,Demotecnia,2
27.0,2343.0,1295.0,3216.0,312.0,185.0,448.0,38.0,70614.0,14946.0,5021.0,7231.0,1560.0,540.0,50.0,35423.0,6156.0,21.0,8409000.0,1527417.0,Maynez,4,2024-03-19,El Financiero,7
32.0,2918.0,1706.0,4216.0,339.0,206.0,502.0,36.0,76149.0,15391.0,5224.0,8516.0,1749.0,606.0,50.0,59970.0,9662.0,22.0,8676000.0,1479917.0,Maynez,4,2024-03-20,GEA-ISA,4
36.0,3339.0,1885.0,4700.0,366.0,208.0,517.0,39.0,94480.0,18127.0,5136.0,9939.0,1922.0,547.0,46.0,71345.0,12221.0,15.0,4251000.0,1010792.0,Maynez,4,2024-03-21,Mendoza Blanco,6
34.0,2036.0,1717.0,3963.0,227.0,199.0,460.0,36.0,86318.0,17046.0,5572.0,9669.0,1888.0,649.0,44.0,75087.0,13275.0,9.0,2383000.0,923167.0,Maynez,4,2024-03-22,Mitofsky,5
32.0,1925.0,1531.0,4005.0,222.0,186.0,501.0,32.0,75631.0,12801.0,5367.0,9361.0,1578.0,689.0,44.0,62612.0,10780.0,10.0,1712000.0,687750.0,Maynez,4,2024-03-23,Reforma,7
27.0,1776.0,1286.0,3774.0,280.0,199.0,601.0,32.0,63603.0,8937.0,5033.0,7643.0,1026.0,641.0,44.0,48349.0,8742.0,9.0,803000.0,414250.0,Maynez,4,2024-03-24,Citibanamex,5
49.0,6012.0,15135.0,101971.0,501.0,1356.0,8539.0,43.0,223900.0,20660.0,32587.0,21351.0,2059.0,3326.0,74.0,617091.0,63692.0,5.0,2598689.0,1299689.0,Maynez,4,2024-04-15,Altica,5
46.0,4839.0,7421.0,79103.0,431.0,674.0,7285.0,46.0,220994.0,14855.0,18551.0,19059.0,1277.0,1595.0,76.0,751009.0,75858.0,5.0,2598689.0,1299689.0,Maynez,4,2024-04-16,Berumen,4
38.0,3582.0,4873.0,49404.0,399.0,568.0,5874.0,43.0,186790.0,12705.0,14344.0,17072.0,1170.0,1291.0,68.0,568443.0,63021.0,3.0,2531689.0,1266189.0,Maynez,4,2024-04-17,Covarrubias,7
36.0,3681.0,4701.0,47623.0,426.0,568.0,5861.0,42.0,198890.0,13440.0,14954.0,18569.0,1261.0,1373.0,70.0,634997.0,70059.0,3.0,2561000.0,1295500.0,Maynez,4,2024-04-18,El Financiero,8
40.0,5010.0,5192.0,52558.0,494.0,576.0,5955.0,42.0,185547.0,14746.0,13218.0,17356.0,1380.0,1215.0,70.0,627318.0,69291.0,1.0,30000.0,30000.0,Maynez,4,2024-04-19,Enkoll,6
