XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
15.0,2305.0,519.0,1494.0,314.0,69.0,198.0,19.0,7520.0,2044.0,624.0,797.0,218.0,66.0,10.0,14605.0,2692.0,3.0,953.0,318.0,Maynez,2,2024-01-21,Simo,4
5.0,4461.0,676.0,691.0,2104.0,326.0,308.0,19.0,5378.0,2134.0,229.0,563.0,223.0,24.0,6.0,4246.0,1415.0,0.0,0.0,0.0,Maynez,2,2024-02-15,Berumen,5
4.0,1096.0,118.0,286.0,590.0,71.0,137.0,15.0,2959.0,974.0,161.0,369.0,117.0,21.0,4.0,2164.0,1044.0,0.0,0.0,0.0,Maynez,2,2024-02-16,Buendía y Márquez,4
1.0,337.0,47.0,62.0,337.0,47.0,62.0,13.0,4089.0,1309.0,256.0,601.0,191.0,38.0,5.0,3726.0,1294.0,0.0,0.0,0.0,Maynez,2,2024-02-17,Demotecnia,2
1.0,904.0,98.0,160.0,904.0,98.0,160.0,14.0,4031.0,1400.0,259.0,576.0,200.0,37.0,4.0,3242.0,810.0,0.0,0.0,0.0,Maynez,2,2024-02-18,El Financiero,8
6.0,1246.0,147.0,270.0,972.0,108.0,182.0,18.0,2375.0,722.0,177.0,251.0,78.0,19.0,3.0,2150.0,717.0,0.0,0.0,0.0,Maynez,2,2024-02-19,Mitofsky,5
8.0,567.0,114.0,447.0,143.0,31.0,134.0,21.0,2562.0,680.0,220.0,241.0,64.0,21.0,8.0,6945.0,1676.0,0.0,0.0,0.0,Maynez,2,2024-02-20,Simo,3
13.0,789.0,600.0,1283.0,116.0,95.0,190.0,12.0,8721.0,1484.0,1650.0,1250.0,213.0,326.0,8.0,7526.0,1713.0,6.0,1504000.0,490400.0,Maynez,2,2024-03-15,Altica,6
13.0,856.0,546.0,1350.0,130.0,84.0,203.0,17.0,23013.0,5212.0,1858.0,2660.0,597.0,216.0,13.0,12099.0,1875.0,7.0,2086000.0,662900.0,Maynez,2,2024-03-16,Berumen,4
10.0,530.0,398.0,894.0,106.0,80.0,179.0,16.0,25140.0,6281.0,2314.0,3097.0,772.0,294.0,14.0,10904.0,1558.0,10.0,5340000.0,974625.0,Maynez,2,2024-03-17,Covarrubias,5
14.0,1717.0,662.0,1937.0,211.0,91.0,254.0,18.0,31576.0,5308.0,2542.0,3368.0,604.0,291.0,13.0,14129.0,2237.0,16.0,6778000.0,847250.0,Maynez,2,2024-03-18,Demotecnia,2
17.0,1813.0,897.0,2322.0,206.0,106.0,269.0,22.0,45474.0,8665.0,2707.0,4134.0,788.0,246.0,11.0,24519.0,4598.0,11.0,3069000.0,552792.0,Maynez,2,2024-03-19,El Financiero,7
18.0,1201.0,1044.0,2279.0,128.0,115.0,248.0,18.0,44573.0,10083.0,2682.0,5148.0,1145.0,315.0,12.0,45841.0,7426.0,6.0,1898000.0,632667.0,Maynez,2,2024-03-20,GEA-ISA,4
19.0,1526.0,988.0,2378.0,160.0,103.0,248.0,17.0,49006.0,9462.0,2429.0,5805.0,1134.0,301.0,12.0,46826.0,7623.0,4.0,1182000.0,458000.0,Maynez,2,2024-03-21,Mendoza Blanco,6
