XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
22.0,51360.0,46553.0,158849.0,4706.0,8635.0,28538.0,23.0,335000.0,35886.0,20830.0,58567.0,6273.0,3775.0,13.0,159949.0,50696.0,3.0,35700.0,31800.0,Claudia,4,2023-09-15,Enkoll,49
28.0,66912.0,59167.0,212853.0,4846.0,8503.0,29819.0,30.0,369900.0,38022.0,22203.0,54333.0,5689.0,3179.0,14.0,177493.0,52794.0,2.0,16100.0,16100.0,Claudia,4,2023-09-16,GEA-ISA,53
24.0,26268.0,38578.0,73300.0,2276.0,5726.0,12671.0,36.0,252400.0,35220.0,21025.0,29359.0,4157.0,2453.0,30.0,203395.0,23978.0,8.0,199879.0,124503.0,Claudia,4,2023-10-15,Covarrubias,59
23.0,26962.0,39160.0,73400.0,2594.0,6288.0,13929.0,34.0,218800.0,29595.0,18323.0,26442.0,3587.0,2221.0,30.0,207971.0,24740.0,7.0,192319.0,123273.0,Claudia,4,2023-10-16,El FInanciero,46
19.0,36070.0,25514.0,72300.0,3820.0,5554.0,15753.0,30.0,169200.0,24109.0,15888.0,23159.0,3328.0,2188.0,23.0,172383.0,22714.0,6.0,107941.0,96020.0,Claudia,4,2023-10-17,Enkoll,50
18.0,37046.0,25683.0,70800.0,4067.0,5860.0,16138.0,27.0,213900.0,35214.0,19182.0,32598.0,5470.0,2989.0,19.0,188870.0,37440.0,5.0,92741.0,90120.0,Claudia,4,2023-10-18,Mendoza Blanco,55
21.0,48912.0,31911.0,85600.0,4466.0,6194.0,16649.0,29.0,214000.0,35566.0,21023.0,31313.0,5335.0,3057.0,15.0,99488.0,30866.0,6.0,47441.0,27970.0,Claudia,4,2023-10-19,Mitofsky,48
25.0,49122.0,33554.0,88900.0,3955.0,5476.0,14302.0,36.0,212800.0,36604.0,23545.0,26081.0,4728.0,2869.0,19.0,99281.0,29158.0,7.0,54741.0,29070.0,Claudia,4,2023-10-20,Parametría,60
27.0,41868.0,32726.0,90000.0,2973.0,4855.0,13208.0,38.0,312400.0,52154.0,27233.0,36399.0,6310.0,3164.0,26.0,133040.0,30955.0,5.0,49500.0,26450.0,Claudia,4,2023-10-21,Simo,57
18.0,26054.0,22751.0,71500.0,2834.0,5124.0,15663.0,31.0,135663.0,15915.0,11775.0,18454.0,2585.0,1693.0,25.0,155870.0,28987.0,5.0,29268.0,22289.0,Claudia,4,2023-11-15,Buendía y Márquez,48
19.0,28054.0,23740.0,70858.0,2895.0,5097.0,15045.0,28.0,117163.0,14528.0,11077.0,17573.0,2590.0,1768.0,22.0,139772.0,28477.0,5.0,24667.0,17688.0,Claudia,4,2023-11-16,Covarrubias,57
19.0,29668.0,25889.0,78458.0,3057.0,5527.0,16565.0,28.0,146774.0,18862.0,14728.0,20863.0,3072.0,2174.0,20.0,136596.0,28948.0,4.0,16867.0,9888.0,Claudia,4,2023-11-17,Demotecnia,66
15.0,31506.0,23427.0,81358.0,8360.0,9195.0,40345.0,22.0,168500.0,30036.0,15493.0,55454.0,10169.0,3882.0,17.0,166302.0,58577.0,4.0,16867.0,9888.0,Claudia,4,2023-11-18,El Financiero,50
19.0,34380.0,28331.0,96858.0,8220.0,9112.0,40595.0,26.0,175800.0,28424.0,16465.0,53704.0,9235.0,3661.0,23.0,158380.0,50814.0,5.0,35077.0,13568.0,Claudia,4,2023-11-19,Enkoll,49
18.0,35138.0,30571.0,102200.0,8388.0,9677.0,41997.0,29.0,198700.0,31450.0,21952.0,55025.0,9393.0,4064.0,23.0,169390.0,53016.0,8.0,38184.0,9546.0,Claudia,4,2023-11-20,Mendoza Blanco,54
21.0,39818.0,37063.0,114500.0,8396.0,9929.0,41742.0,27.0,185000.0,29845.0,20667.0,54325.0,9342.0,4042.0,28.0,189859.0,53298.0,11.0,463269.0,151241.0,Claudia,4,2023-11-21,Mitofsky,50
27.0,35110.0,43001.0,115100.0,2574.0,6320.0,16970.0,36.0,152500.0,21438.0,23065.0,16598.0,2360.0,2501.0,33.0,134079.0,17130.0,13.0,630267.0,234740.0,Claudia,4,2023-11-22,Parametría,52
28.0,39138.0,45108.0,124600.0,2800.0,6440.0,17792.0,42.0,184700.0,25149.0,26528.0,17366.0,2398.0,2549.0,26.0,112520.0,18939.0,12.0,614883.0,232002.0,Claudia,4,2023-11-23,Reforma,46
