XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
7.0,9247.0,14560.0,57152.0,1321.0,2080.0,8165.0,6.0,185000.0,20800.0,8440.0,30833.0,3467.0,1407.0,4.0,40527.0,10132.0,1.0,8800.0,8800.0,Claudia,1,2023-09-15,Enkoll,66
10.0,12032.0,21904.0,81468.0,1203.0,2190.0,8147.0,10.0,68000.0,5557.0,4515.0,6800.0,556.0,452.0,3.0,40044.0,13348.0,1.0,7300.0,7300.0,Claudia,1,2023-09-16,GEA-ISA,60
6.0,4672.0,6450.0,20400.0,779.0,1075.0,3400.0,10.0,77600.0,9849.0,5105.0,7760.0,985.0,510.0,10.0,124852.0,12485.0,1.0,79000.0,79000.0,Claudia,1,2023-10-15,El FInanciero,55
3.0,2765.0,5000.0,14800.0,922.0,1667.0,4933.0,4.0,32200.0,4406.0,2624.0,8050.0,1102.0,656.0,6.0,25316.0,4219.0,1.0,5100.0,5100.0,Claudia,1,2023-10-16,Enkoll,62
5.0,8104.0,8800.0,21900.0,1621.0,1760.0,4380.0,7.0,23600.0,4615.0,3626.0,3371.0,659.0,518.0,1.0,2768.0,2768.0,2.0,5241.0,2620.0,Claudia,1,2023-10-17,Covarrubias,68
5.0,8104.0,8800.0,21900.0,1621.0,1760.0,4380.0,7.0,23600.0,4615.0,3626.0,3371.0,659.0,518.0,1.0,2768.0,2768.0,2.0,5241.0,2620.0,Claudia,1,2023-10-17,Mendoza Blanco,65
4.0,2982.0,5433.0,13700.0,746.0,1358.0,3425.0,6.0,80500.0,16344.0,7827.0,13417.0,2724.0,1304.0,2.0,35934.0,17967.0,1.0,3400.0,3400.0,Claudia,1,2023-10-18,Simo,62
2.0,1140.0,2700.0,7000.0,570.0,1350.0,3500.0,4.0,21300.0,5857.0,2744.0,5325.0,1464.0,686.0,4.0,46472.0,11618.0,3.0,10468.0,3489.0,Claudia,1,2023-11-15,El Financiero,54
7.0,4413.0,8060.0,21458.0,630.0,1151.0,3065.0,7.0,22600.0,3366.0,3384.0,3229.0,481.0,483.0,5.0,20033.0,4007.0,1.0,6399.0,6399.0,Claudia,1,2023-11-16,Enkoll,59
5.0,3800.0,7467.0,23900.0,760.0,1493.0,4780.0,9.0,39600.0,5613.0,5065.0,4400.0,624.0,563.0,6.0,20839.0,3473.0,0.0,0.0,0.0,Claudia,1,2023-11-17,Mendoza Blanco,63
1.0,6400.0,5200.0,29000.0,6400.0,5200.0,29000.0,2.0,85000.0,15200.0,4300.0,42500.0,7600.0,2150.0,2.0,78958.0,39479.0,0.0,0.0,0.0,Claudia,1,2023-11-18,Reforma,54
13.0,3917.0,11627.0,31600.0,301.0,894.0,2431.0,13.0,39000.0,6337.0,4295.0,3000.0,487.0,330.0,11.0,23848.0,2168.0,7.0,89862.0,12837.0,Claudia,1,2023-12-15,GEA-ISA,59
7.0,3919.0,10470.0,29800.0,560.0,1496.0,4257.0,18.0,53100.0,11528.0,5454.0,2950.0,640.0,303.0,7.0,22993.0,3285.0,6.0,54818.0,9136.0,Claudia,1,2023-12-16,Mendoza Blanco,63
4.0,2187.0,6000.0,15400.0,547.0,1500.0,3850.0,8.0,21500.0,3617.0,2258.0,2688.0,452.0,282.0,8.0,21715.0,2714.0,4.0,58300.0,14575.0,Claudia,1,2023-12-17,Simo,66
8.0,3156.0,8922.0,27600.0,394.0,1115.0,3450.0,11.0,39800.0,4906.0,3316.0,3618.0,446.0,301.0,5.0,18433.0,3687.0,0.0,0.0,0.0,Claudia,1,2023-12-18,El Financiero,58
