XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
77.0,46123.0,99036.0,330103.0,8147.0,16917.0,53623.0,47.0,547200.0,59782.0,42831.0,94304.0,10392.0,7766.0,27.0,299794.0,88704.0,6.0,335500.0,193200.0,Claudia,14,2023-09-15,Enkoll,49
87.0,58155.0,120940.0,411571.0,9351.0,19107.0,61769.0,57.0,615200.0,65339.0,47346.0,101104.0,10948.0,8217.0,30.0,339838.0,102052.0,7.0,342800.0,200500.0,Claudia,14,2023-09-16,GEA-ISA,53
67.0,52359.0,99904.0,248354.0,11118.0,19985.0,54371.0,96.0,536100.0,82891.0,61282.0,78500.0,12840.0,9381.0,79.0,540155.0,98530.0,19.0,406179.0,229570.0,Claudia,14,2023-10-15,Covarrubias,59
66.0,52783.0,100197.0,250272.0,11455.0,20475.0,56084.0,94.0,545300.0,83959.0,60442.0,82717.0,13385.0,9459.0,78.0,545844.0,99946.0,20.0,411279.0,234670.0,Claudia,14,2023-10-16,El FInanciero,46
66.0,54063.0,98748.0,247381.0,11711.0,20185.0,55506.0,96.0,542500.0,84668.0,59604.0,80808.0,13263.0,9085.0,76.0,526243.0,95257.0,21.0,414120.0,234890.0,Claudia,14,2023-10-17,Enkoll,50
67.0,53998.0,98768.0,242613.0,11440.0,19739.0,52775.0,97.0,597200.0,97841.0,64637.0,89065.0,15353.0,9830.0,74.0,537197.0,106979.0,22.0,417520.0,238290.0,Claudia,14,2023-10-18,Mendoza Blanco,55
71.0,57242.0,101662.0,251738.0,11147.0,19191.0,51471.0,103.0,649500.0,103544.0,66814.0,91306.0,15453.0,9614.0,76.0,560399.0,109824.0,22.0,328220.0,193640.0,Claudia,14,2023-10-19,Mitofsky,48
73.0,56863.0,101806.0,251085.0,10907.0,18840.0,50306.0,107.0,651300.0,102067.0,67362.0,89953.0,14960.0,9425.0,82.0,541713.0,101386.0,21.0,320920.0,193274.0,Claudia,14,2023-10-20,Parametría,60
75.0,55590.0,101310.0,250042.0,10396.0,18285.0,48783.0,109.0,738500.0,117838.0,69145.0,98499.0,16572.0,9448.0,83.0,532701.0,99446.0,21.0,320920.0,193274.0,Claudia,14,2023-10-21,Simo,57
81.0,79991.0,105010.0,284400.0,14101.0,18795.0,50881.0,108.0,422163.0,62443.0,51302.0,55023.0,8482.0,6842.0,69.0,334378.0,71669.0,21.0,157927.0,94887.0,Claudia,14,2023-11-15,Buendía y Márquez,48
82.0,77339.0,106795.0,287858.0,13554.0,18900.0,50947.0,109.0,417363.0,61733.0,50311.0,53685.0,8284.0,6596.0,69.0,337089.0,72211.0,21.0,141558.0,78518.0,Claudia,14,2023-11-16,Covarrubias,57
78.0,68097.0,102541.0,285258.0,12865.0,19092.0,52782.0,110.0,435363.0,63493.0,52078.0,55385.0,8426.0,6747.0,70.0,342411.0,72581.0,21.0,141558.0,78518.0,Claudia,14,2023-11-17,Demotecnia,66
69.0,68324.0,95785.0,283058.0,18648.0,23096.0,78662.0,101.0,468663.0,69066.0,50459.0,93185.0,15151.0,8359.0,65.0,391163.0,107745.0,18.0,111758.0,68585.0,Claudia,14,2023-11-18,El Financiero,50
69.0,64368.0,96260.0,283358.0,17988.0,23175.0,78712.0,98.0,454263.0,66584.0,49295.0,92851.0,15070.0,8379.0,70.0,409989.0,107655.0,21.0,133336.0,68655.0,Claudia,14,2023-11-19,Enkoll,49
70.0,65779.0,101357.0,295558.0,18111.0,23851.0,80259.0,102.0,484363.0,70118.0,56022.0,94834.0,15233.0,8909.0,70.0,426266.0,110911.0,23.0,124066.0,61643.0,Claudia,14,2023-11-20,Mendoza Blanco,54
74.0,69488.0,110116.0,320258.0,18271.0,24296.0,81909.0,105.0,493863.0,71664.0,57512.0,94434.0,15190.0,8877.0,79.0,461468.0,111613.0,26.0,549151.0,203338.0,Claudia,14,2023-11-21,Mitofsky,50
77.0,61605.0,110554.0,323958.0,15866.0,23212.0,79662.0,109.0,517363.0,74082.0,60551.0,95064.0,15182.0,8963.0,84.0,463218.0,104210.0,26.0,705229.0,281377.0,Claudia,14,2023-11-22,Parametría,52
80.0,63557.0,115465.0,344158.0,15862.0,23399.0,81284.0,117.0,564263.0,79543.0,65341.0,97090.0,15335.0,9077.0,85.0,476654.0,108096.0,28.0,712723.0,280008.0,Claudia,14,2023-11-23,Reforma,46
112.0,55481.0,148760.0,388113.0,7129.0,18850.0,49158.0,180.0,536300.0,80968.0,60646.0,41696.0,6315.0,4725.0,116.0,459811.0,56451.0,57.0,2000832.0,491038.0,Claudia,14,2023-12-15,Berumen,51
108.0,54309.0,142818.0,374513.0,7226.0,18854.0,49470.0,182.0,544600.0,86154.0,60744.0,41846.0,6559.0,4693.0,114.0,446465.0,55698.0,57.0,1929422.0,479136.0,Claudia,14,2023-12-16,Covarrubias,55
103.0,52423.0,137601.0,358813.0,7320.0,19107.0,49864.0,177.0,532700.0,84114.0,58732.0,41964.0,6576.0,4647.0,115.0,449460.0,55738.0,58.0,1623826.0,372413.0,Claudia,14,2023-12-17,Demotecnia,65
103.0,50592.0,134318.0,355613.0,7091.0,18697.0,49464.0,178.0,551500.0,84166.0,58903.0,43482.0,6537.0,4634.0,113.0,439618.0,55385.0,58.0,1623826.0,372413.0,Claudia,14,2023-12-18,El Financiero,52
106.0,51064.0,130779.0,350000.0,6931.0,17878.0,47665.0,180.0,617200.0,91192.0,60156.0,47561.0,6961.0,4654.0,113.0,407139.0,48889.0,58.0,1756061.0,405472.0,Claudia,14,2023-12-19,GEA-ISA,52
104.0,50163.0,127222.0,340200.0,6929.0,17736.0,47151.0,174.0,615300.0,89625.0,60084.0,49301.0,7098.0,4915.0,115.0,429086.0,50356.0,57.0,1536783.0,376344.0,Claudia,14,2023-12-20,Mendoza Blanco,54
104.0,46915.0,121531.0,328800.0,6523.0,17025.0,45726.0,174.0,659800.0,90807.0,62911.0,52082.0,7172.0,5091.0,116.0,409856.0,47606.0,60.0,1797437.0,406688.0,Claudia,14,2023-12-21,Mitofsky,50
101.0,47376.0,118475.0,322000.0,6766.0,17085.0,46148.0,167.0,652000.0,87434.0,61420.0,52780.0,7111.0,5112.0,115.0,376952.0,44627.0,64.0,1658161.0,379409.0,Claudia,14,2023-12-22,Parametría,53
109.0,50474.0,123332.0,337098.0,6823.0,16802.0,45389.0,168.0,671000.0,85707.0,61676.0,53814.0,6974.0,5108.0,117.0,372552.0,43193.0,68.0,1589413.0,361303.0,Claudia,14,2023-12-23,Simo,57
110.0,51371.0,121765.0,336198.0,6874.0,16317.0,44643.0,167.0,728300.0,90566.0,64007.0,59785.0,7485.0,5378.0,118.0,385878.0,44201.0,69.0,1648731.0,371946.0,Claudia,14,2023-12-24,Citibanamex,46
98.0,51637.0,103307.0,299300.0,7328.0,14788.0,42550.0,133.0,1176600.0,101072.0,75240.0,123492.0,10666.0,8080.0,130.0,480868.0,52795.0,60.0,2047474.0,569159.0,Claudia,14,2024-01-15,Berumen,54
101.0,52586.0,106287.0,306700.0,7250.0,14758.0,42354.0,134.0,1246700.0,104150.0,77116.0,131758.0,10985.0,8252.0,130.0,504674.0,56763.0,59.0,1795423.0,509339.0,Claudia,14,2024-01-16,Demotecnia,66
105.0,55507.0,109842.0,317800.0,7300.0,14601.0,42067.0,141.0,1358700.0,111326.0,81825.0,133634.0,11099.0,8262.0,139.0,528668.0,54506.0,63.0,1572948.0,305913.0,Claudia,14,2024-01-17,El Financiero,48
101.0,54131.0,107534.0,312000.0,7380.0,14813.0,42814.0,144.0,1257300.0,105422.0,81738.0,122943.0,10418.0,8085.0,138.0,517192.0,53580.0,62.0,1469662.0,289586.0,Claudia,14,2024-01-18,Enkoll,55
107.0,65240.0,126624.0,362600.0,8064.0,15835.0,45442.0,152.0,1247200.0,118126.0,97464.0,116548.0,10650.0,8531.0,141.0,565306.0,56518.0,60.0,1346880.0,266888.0,Claudia,14,2024-01-19,Mendoza Blanco,61
103.0,65210.0,121801.0,344000.0,8373.0,15798.0,44767.0,146.0,1267200.0,115085.0,94628.0,129078.0,10654.0,8561.0,136.0,551323.0,57106.0,57.0,1296080.0,256438.0,Claudia,14,2024-01-20,Mitofsky,51
97.0,60238.0,116177.0,327000.0,8100.0,16281.0,45853.0,145.0,1307100.0,119668.0,97281.0,134781.0,11290.0,8939.0,129.0,524217.0,57354.0,51.0,1087380.0,230395.0,Claudia,14,2024-01-21,Simo,63
67.0,52582.0,96613.0,258800.0,10947.0,19642.0,52307.0,107.0,723400.0,85929.0,74903.0,94863.0,10695.0,8489.0,76.0,410029.0,72621.0,19.0,193659.0,89966.0,Claudia,14,2024-01-31,Actual Oraculus,64
